kind,trial,index,metric,value
meta,0,0,backend,hudsucker
meta,0,0,profile,release
meta,0,0,rustc,rustc 1.98.1 (48a229cea 2026-09-01)
meta,0,0,baffle_ca_sha256,88:0E:ED:ED:4A:CC:4E:9E:3A:5B:C6:31:3B:AC:F2:84:64:DF:41:D5:5E:01:71:F9:7E:21:78:8E:AB:BE:35:D6
meta,0,0,origin_root_sha256,37:F2:22:D7:81:9C:58:33:75:B8:E6:86:50:B9:CF:09:BE:13:50:D3:38:25:31:98:81:D8:36:64:AE:9B:02:5B
meta,0,0,origin_leaf_sha256,0E:C9:4E:6E:FB:77:C3:D1:79:16:DD:F1:C8:01:A9:7C:47:E0:7D:4C:6E:CD:C9:4F:A3:23:D6:2D:9C:17:7C:20
sample,0,0,session_start_ms,0.090
sample,0,0,session_stop_ms,0.058
sample,1,0,session_start_ms,0.055
sample,1,0,session_stop_ms,0.032
sample,2,0,session_start_ms,0.048
sample,2,0,session_stop_ms,0.030
sample,3,0,session_start_ms,0.046
sample,3,0,session_stop_ms,0.029
sample,4,0,session_start_ms,0.046
sample,4,0,session_stop_ms,0.029
summary,0,5,session_start_ms_median,0.048180
summary,0,5,session_start_ms_p95,0.090392
summary,0,5,session_stop_ms_median,0.029861
summary,0,5,session_stop_ms_p95,0.057900
sample,0,1,sequential_runtime_create_ms,0.048
sample,0,1,idle_process_rss_delta_kib,0
sample,0,1,idle_rss_delta_per_session_kib,0.000
sample,0,1,concurrent_runtime_create_wall_ms,0.079
sample,0,1,concurrent_idle_process_rss_delta_kib,0
sample,1,1,sequential_runtime_create_ms,0.076
sample,1,1,idle_process_rss_delta_kib,4
sample,1,1,idle_rss_delta_per_session_kib,4.000
sample,1,1,concurrent_runtime_create_wall_ms,0.076
sample,1,1,concurrent_idle_process_rss_delta_kib,4
sample,2,1,sequential_runtime_create_ms,0.078
sample,2,1,idle_process_rss_delta_kib,4
sample,2,1,idle_rss_delta_per_session_kib,4.000
sample,2,1,concurrent_runtime_create_wall_ms,0.085
sample,2,1,concurrent_idle_process_rss_delta_kib,16
sample,3,1,sequential_runtime_create_ms,0.061
sample,3,1,idle_process_rss_delta_kib,0
sample,3,1,idle_rss_delta_per_session_kib,0.000
sample,3,1,concurrent_runtime_create_wall_ms,0.070
sample,3,1,concurrent_idle_process_rss_delta_kib,0
sample,4,1,sequential_runtime_create_ms,0.060
sample,4,1,idle_process_rss_delta_kib,0
sample,4,1,idle_rss_delta_per_session_kib,0.000
sample,4,1,concurrent_runtime_create_wall_ms,0.069
sample,4,1,concurrent_idle_process_rss_delta_kib,0
sample,0,2,sequential_runtime_create_ms,0.150
sample,0,2,idle_process_rss_delta_kib,24
sample,0,2,idle_rss_delta_per_session_kib,12.000
sample,0,2,concurrent_runtime_create_wall_ms,0.158
sample,0,2,concurrent_idle_process_rss_delta_kib,4
sample,1,2,sequential_runtime_create_ms,0.093
sample,1,2,idle_process_rss_delta_kib,0
sample,1,2,idle_rss_delta_per_session_kib,0.000
sample,1,2,concurrent_runtime_create_wall_ms,0.109
sample,1,2,concurrent_idle_process_rss_delta_kib,12
sample,2,2,sequential_runtime_create_ms,0.098
sample,2,2,idle_process_rss_delta_kib,4
sample,2,2,idle_rss_delta_per_session_kib,2.000
sample,2,2,concurrent_runtime_create_wall_ms,0.099
sample,2,2,concurrent_idle_process_rss_delta_kib,0
sample,3,2,sequential_runtime_create_ms,0.098
sample,3,2,idle_process_rss_delta_kib,0
sample,3,2,idle_rss_delta_per_session_kib,0.000
sample,3,2,concurrent_runtime_create_wall_ms,0.101
sample,3,2,concurrent_idle_process_rss_delta_kib,0
sample,4,2,sequential_runtime_create_ms,0.153
sample,4,2,idle_process_rss_delta_kib,0
sample,4,2,idle_rss_delta_per_session_kib,0.000
sample,4,2,concurrent_runtime_create_wall_ms,0.128
sample,4,2,concurrent_idle_process_rss_delta_kib,0
sample,0,4,sequential_runtime_create_ms,0.280
sample,0,4,idle_process_rss_delta_kib,60
sample,0,4,idle_rss_delta_per_session_kib,15.000
sample,0,4,concurrent_runtime_create_wall_ms,0.295
sample,0,4,concurrent_idle_process_rss_delta_kib,12
sample,1,4,sequential_runtime_create_ms,0.217
sample,1,4,idle_process_rss_delta_kib,0
sample,1,4,idle_rss_delta_per_session_kib,0.000
sample,1,4,concurrent_runtime_create_wall_ms,0.238
