kind,trial,index,metric,value
meta,0,0,backend,rama
meta,0,0,profile,release
meta,0,0,rustc,rustc 1.98.1 (48a229cea 2026-09-01)
meta,0,0,origin,rust
meta,0,0,cpu_affinity,0
meta,0,0,tcp_nodelay,off
meta,0,0,concurrency_levels,1;4;16
latency,0,0,http1_rust_nodelay_off_c1_keepalive_ms,41.974284
latency,0,1,http1_rust_nodelay_off_c1_keepalive_ms,42.006865
latency,0,2,http1_rust_nodelay_off_c1_keepalive_ms,41.997274
latency,0,3,http1_rust_nodelay_off_c1_keepalive_ms,41.998054
latency,0,4,http1_rust_nodelay_off_c1_keepalive_ms,41.998454
latency,0,5,http1_rust_nodelay_off_c1_keepalive_ms,42.000674
latency,0,6,http1_rust_nodelay_off_c1_keepalive_ms,41.998284
latency,0,7,http1_rust_nodelay_off_c1_keepalive_ms,42.002545
latency,0,8,http1_rust_nodelay_off_c1_keepalive_ms,42.000523
latency,0,9,http1_rust_nodelay_off_c1_keepalive_ms,41.999065
latency,0,10,http1_rust_nodelay_off_c1_keepalive_ms,41.051528
latency,0,11,http1_rust_nodelay_off_c1_keepalive_ms,41.960613
latency,0,12,http1_rust_nodelay_off_c1_keepalive_ms,41.986044
latency,0,13,http1_rust_nodelay_off_c1_keepalive_ms,42.001934
latency,0,14,http1_rust_nodelay_off_c1_keepalive_ms,42.001235
latency,0,15,http1_rust_nodelay_off_c1_keepalive_ms,41.996214
latency,0,16,http1_rust_nodelay_off_c1_keepalive_ms,41.998624
latency,0,17,http1_rust_nodelay_off_c1_keepalive_ms,42.000024
latency,0,18,http1_rust_nodelay_off_c1_keepalive_ms,41.006697
latency,0,19,http1_rust_nodelay_off_c1_keepalive_ms,41.993924
latency,0,20,http1_rust_nodelay_off_c1_keepalive_ms,42.001405
latency,0,21,http1_rust_nodelay_off_c1_keepalive_ms,41.998153
latency,0,22,http1_rust_nodelay_off_c1_keepalive_ms,42.007125
latency,0,23,http1_rust_nodelay_off_c1_keepalive_ms,40.999057
latency,0,24,http1_rust_nodelay_off_c1_keepalive_ms,41.999024
latency,0,25,http1_rust_nodelay_off_c1_keepalive_ms,41.995044
latency,0,26,http1_rust_nodelay_off_c1_keepalive_ms,42.002984
latency,0,27,http1_rust_nodelay_off_c1_keepalive_ms,41.997044
latency,0,28,http1_rust_nodelay_off_c1_keepalive_ms,42.000555
latency,0,29,http1_rust_nodelay_off_c1_keepalive_ms,41.998284
latency,0,30,http1_rust_nodelay_off_c1_keepalive_ms,40.995657
latency,0,31,http1_rust_nodelay_off_c1_keepalive_ms,42.007344
latency,0,32,http1_rust_nodelay_off_c1_keepalive_ms,41.001387
latency,0,33,http1_rust_nodelay_off_c1_keepalive_ms,40.996457
latency,0,34,http1_rust_nodelay_off_c1_keepalive_ms,41.002818
latency,0,35,http1_rust_nodelay_off_c1_keepalive_ms,42.018854
latency,0,36,http1_rust_nodelay_off_c1_keepalive_ms,40.985147
latency,0,37,http1_rust_nodelay_off_c1_keepalive_ms,40.996737
latency,0,38,http1_rust_nodelay_off_c1_keepalive_ms,40.996897
