kind,trial,index,metric,value
meta,0,0,backend,rama
meta,0,0,profile,release
meta,0,0,rustc,rustc 1.98.1 (48a229cea 2026-09-01)
meta,0,0,origin,rust
meta,0,0,cpu_affinity,0
meta,0,0,tcp_nodelay,off
meta,0,0,request_body_bytes,1048576
meta,0,0,response_body_bytes,1048576
meta,0,0,concurrency_levels,1
latency,0,0,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,2.929398
latency,0,1,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,45.526275
latency,0,2,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,44.287047
latency,0,3,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,86.978116
latency,0,4,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,4.259879
latency,0,5,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,45.364203
latency,0,6,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,46.226408
latency,0,7,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,4.235828
latency,0,8,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,45.754490
latency,0,9,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,3.908553
latency,0,10,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,46.047644
latency,0,11,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,46.228737
latency,0,12,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,4.376681
latency,0,13,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,3.496757
latency,0,14,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,44.925856
latency,0,15,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,45.238612
latency,0,16,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,46.844417
latency,0,17,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,45.944733
latency,0,18,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,45.982053
latency,0,19,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,44.011552
latency,0,20,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,3.627248
latency,0,21,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,85.369890
latency,0,22,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,4.153397
latency,0,23,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,46.016024
latency,0,24,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,44.824555
latency,0,25,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,45.877792
latency,0,26,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,45.415334
latency,0,27,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,4.788577
latency,0,28,http1_rust_nodelay_off_req1048576_resp1048576_c1_keepalive_ms,44.717363
