kind,trial,index,metric,value
meta,0,0,backend,hudsucker
meta,0,0,profile,release
meta,0,0,rustc,rustc 1.98.1 (48a229cea 2026-09-01)
meta,0,0,origin,rust
meta,0,0,cpu_affinity,0
meta,0,0,tcp_nodelay,production
meta,0,0,request_body_bytes,1048576
meta,0,0,response_body_bytes,1048576
meta,0,0,concurrency_levels,1
latency,0,0,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.411633
latency,0,1,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.374691
latency,0,2,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.118704
latency,0,3,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,86.666739
latency,0,4,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.002152
latency,0,5,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.001356
latency,0,6,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.986287
latency,0,7,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.009292
latency,0,8,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.994491
latency,0,9,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,43.986566
latency,0,10,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.001261
latency,0,11,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.006106
latency,0,12,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.010702
latency,0,13,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.550657
latency,0,14,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.269352
latency,0,15,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.097848
latency,0,16,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,43.969205
latency,0,17,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.040812
latency,0,18,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.948821
latency,0,19,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.989682
latency,0,20,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.983421
latency,0,21,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.995772
latency,0,22,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.059722
latency,0,23,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.927871
latency,0,24,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.110333
latency,0,25,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.009802
latency,0,26,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.978751
latency,0,27,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,86.070961
latency,0,28,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.998511
latency,0,29,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.991872
latency,0,30,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.234725
latency,0,31,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.771304
latency,0,32,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.990502
latency,0,33,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.008662
latency,0,34,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.609528
latency,0,35,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.568034
latency,0,36,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.822929
latency,0,37,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.994958
latency,0,38,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,4.869338
latency,0,39,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.139970
latency,0,40,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.308861
latency,0,41,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.587985
latency,0,42,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.746428
