kind,trial,index,metric,value
meta,0,0,backend,rama
meta,0,0,profile,release
meta,0,0,rustc,rustc 1.98.1 (48a229cea 2026-09-01)
meta,0,0,origin,rust
meta,0,0,cpu_affinity,0
meta,0,0,tcp_nodelay,production
meta,0,0,request_body_bytes,1048576
meta,0,0,response_body_bytes,1048576
meta,0,0,concurrency_levels,1
latency,0,0,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.251989
latency,0,1,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,48.571682
latency,0,2,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.571427
latency,0,3,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.911193
latency,0,4,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,46.743093
latency,0,5,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.338994
latency,0,6,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,4.287299
latency,0,7,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,4.254819
latency,0,8,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.544073
latency,0,9,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.933034
latency,0,10,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.889973
latency,0,11,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,47.440604
latency,0,12,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.868552
latency,0,13,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.725880
latency,0,14,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.993285
latency,0,15,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.982294
latency,0,16,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.997575
latency,0,17,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,46.530689
latency,0,18,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.869992
latency,0,19,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.775761
latency,0,20,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,4.979950
latency,0,21,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,4.623465
latency,0,22,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.152010
latency,0,23,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,46.183964
latency,0,24,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.299983
latency,0,25,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,46.587031
latency,0,26,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,3.309643
latency,0,27,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,44.989464
latency,0,28,http1_rust_nodelay_production_req1048576_resp1048576_c1_keepalive_ms,45.687376
