kind,trial,index,metric,value
meta,0,0,backend,rama
meta,0,0,profile,release
meta,0,0,rustc,rustc 1.98.1 (48a229cea 2026-09-01)
meta,0,0,origin,python
meta,0,0,cpu_affinity,0
meta,0,0,tcp_nodelay,off
meta,0,0,request_body_bytes,4096
meta,0,0,response_body_bytes,32768
meta,0,0,concurrency_levels,1
latency,0,0,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,40.990616
latency,0,1,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,40.995347
latency,0,2,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.969182
latency,0,3,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.025097
latency,0,4,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,40.965926
latency,0,5,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,44.043106
latency,0,6,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.992812
latency,0,7,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.964163
latency,0,8,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,42.024213
latency,0,9,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,42.003022
latency,0,10,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,42.021794
latency,0,11,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,40.975396
latency,0,12,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.987603
latency,0,13,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,43.095660
latency,0,14,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,40.915725
latency,0,15,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.200880
latency,0,16,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,40.820303
latency,0,17,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,42.797706
latency,0,18,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.187990
latency,0,19,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,40.997396
latency,0,20,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,40.997947
latency,0,21,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.000486
latency,0,22,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.989213
latency,0,23,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.906221
latency,0,24,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,42.097355
latency,0,25,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,42.013972
latency,0,26,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.890291
latency,0,27,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,42.109185
latency,0,28,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,42.019913
latency,0,29,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.005717
latency,0,30,http1_python_nodelay_off_req4096_resp32768_c1_keepalive_ms,41.966172
