kind,trial,index,metric,value
meta,0,0,backend,rama
meta,0,0,profile,release
meta,0,0,rustc,rustc 1.98.1 (48a229cea 2026-09-01)
meta,0,0,origin,python
meta,0,0,cpu_affinity,0
meta,0,0,tcp_nodelay,production
meta,0,0,request_body_bytes,4096
meta,0,0,response_body_bytes,32768
meta,0,0,concurrency_levels,1
latency,0,0,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.950531
latency,0,1,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.018506
latency,0,2,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,42.000651
latency,0,3,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.989572
latency,0,4,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.968741
latency,0,5,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.019106
latency,0,6,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,42.010531
latency,0,7,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.078267
latency,0,8,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,40.916274
latency,0,9,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.998242
latency,0,10,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.007325
latency,0,11,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.000935
latency,0,12,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,40.982916
latency,0,13,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.009605
latency,0,14,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.029246
latency,0,15,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.000475
latency,0,16,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,40.970385
latency,0,17,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,40.984825
latency,0,18,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.050597
latency,0,19,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,40.984305
latency,0,20,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,40.976715
latency,0,21,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.031236
latency,0,22,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,40.969425
latency,0,23,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,40.996155
latency,0,24,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.007095
latency,0,25,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,40.974005
latency,0,26,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.024696
latency,0,27,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.008646
latency,0,28,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.969031
latency,0,29,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.018485
latency,0,30,http1_python_nodelay_production_req4096_resp32768_c1_keepalive_ms,41.036037
